1081	315	45334834,6634821
1081	316	45334845,7030425
1083	317	45334856,5572696
1083	317	45334867,9212746
1084	317	45334879,0728351
1084	318	45334889,8337288
1083	321	45334901,2639561
1083	321	45334912,2604055
1083	323	45334923,0599658
1084	323	45334934,5497487
1084	322	45334945,6328647
1084	323	45334956,2386472
1085	324	45334967,9577635
1085	324	45334978,9764351
1086	324	45334989,5444398
1086	324	45335001,5644451
1085	327	45335012,4657833
1085	327	45335022,9680102
1085	327	45335034,6169043
1089	330	45335045,6782425
1091	332	45335056,2146917
1090	332	45335068,0631414
1089	331	45335079,024924
1088	331	45335089,9293733
1087	329	45335101,1667116
1086	329	45335112,6196056
1086	329	45335122,905388
1087	329	45335134,430282
1084	330	45335145,457398
1075	331	45335156,0756249
1060	333	45335167,8742968
1046	333	45335178,8138573
941	339	45335189,9329733
536	356	45335201,2352006
531	356	45335212,2840943
522	357	45335222,7796546
514	358	45335234,453882
481	361	45335246,1192205
454	362	45335256,0841138
429	366	45335267,7778968
419	367	45335279,0712351
424	372	45335289,4392398
424	372	45335301,0579116
424	370	45335312,1419165
425	371	45335322,7845879
425	371	45335334,3281486
425	371	45335345,3299313
425	370	45335356,2637139
426	370	45335367,5961634
434	370	45335379,0086129
430	370	45335389,3099508
438	372	45335401,1490672
527	395	45335412,2192943
768	454	45335422,4855211
1101	533	45335435,9157493
1147	543	45335445,9286426
1178	550	45335456,8619808
1216	559	45335467,5322078
1238	563	45335478,7988795
1263	568	45335489,2331063
1267	569	45335501,0051116
1281	570	45335511,9228942
1280	568	45335523,0428991
1280	569	45335534,1455707
1278	569	45335545,4060202
1277	568	45335555,9446915
1276	568	45335567,3998077
1276	567	45335578,5802571
1274	567	45335589,5304842
1272	568	45335600,7033781
1272	568	45335611,8402719
1269	568	45335622,8202768
1267	567	45335634,1042818
1268	567	45335645,4180646
1270	572	45335655,7620692
1269	570	45335666,4496295
1270	573	45335677,914968
692	475	45335788,7159061
736	491	45335800,5016891
728	492	45335811,5528051
749	504	45335822,3114766
739	507	45335840,0865956
740	505	45335847,4914878
512	604	45336021,0533427
512	604	45336031,1769027
512	604	45336044,3946864
840	1050	45339035,5173491
921	1048	45339046,9329097
921	1048	45339057,7538034
